word,meaning,pos,synonyms,antonyms,example,phonetic,frequency
adventure,an unusual and exciting experience,noun,expedition;journey;quest;exploration;escapade,routine;boredom;monotony;drudgery,Life is a great adventure.,/ədˈvɛntʃər/,78
mountain,a large natural elevation of the earth,noun,peak;summit;hill;ridge;mount,valley;plain;lowland;depression,They climbed the mountain at dawn.,/ˈmaʊntɪn/,78
ocean,a very large expanse of sea,noun,sea;deep;marine;waters;abyss,land;shore;coast;continent,The ocean is vast and mysterious.,/ˈoʊʃən/,78
garden,a piece of ground used for growing plants,noun,yard;park;grove;orchard;plot,desert;wasteland;wilderness,She planted roses in the garden.,/ˈɡɑːrdən/,75
dream,a series of images occurring during sleep,noun,vision;fantasy;aspiration;ambition;wish,reality;nightmare;wakefulness,Follow your dreams always.,/driːm/,82
family,a group of related people living together,noun,household;kin;relatives;clan;lineage,stranger;outsider;individual,Family is the most important thing.,/ˈfæməli/,92
school,an institution for educating children,noun,academy;institute;college;university;seminary,none,She walks to school every day.,/skuːl/,93
time,the indefinite continued progress of existence,noun,duration;period;moment;era;epoch,none,Time waits for no one.,/taɪm/,99
world,the earth with all its inhabitants,noun,globe;planet;earth;universe;realm,none,The world is a beautiful place.,/wɜːrld/,95
quickly,at a fast speed; rapidly,adverb,rapidly;swiftly;speedily;hastily;promptly,slowly;gradually;leisurely,He quickly solved the puzzle.,/ˈkwɪkli/,80
